Filename,Version,FileVersion,InfoVersion
Antlr3.Runtime.dll,3.4.1.9004,3.4.1.9004,3.4.1.9004
ChilkatDotNet47.dll,9.5.0.73,9.5.0.73,9.5.0.73
CommonServiceLocator.dll,2.0.3.0,2.0.3.0,2.0.3
CommonServiceLocator.SolrNet.dll,1.0.19.0,1.0.19.0,1.0.19
ComponentArt.Web.UI.dll,2010.1.2637.35,2010.1.2637.35,2010.1.2637.35
DocumentFormat.OpenXml.dll,2.7.2.0,2.7.2.0,2.7.2
EcmaScript.NET.dll,1.0.1.0,1.0.1.0,1.0.1.0
FiftyOne.Foundation.dll,3.2.17.2,3.2.17.2,3.2.17.2
HtmlAgilityPack.dll,1.4.9.5,1.4.9.5,1.4.9.5
ICSharpCode.SharpZipLib.dll,1.3.2.10,1.3.2.10,1.3.2+34879bef2b28c2b0fa991da64da83057a0b806b7
IdentityModel.dll,3.7.0.0,3.7.0.0,3.7.0
MarkdownSharp.dll,1.14.5.0,1.14.5.0,1.14.5.0
Microsoft.AspNet.Identity.Core.dll,2.0.0.0,2.2.1.40403.0,2.2.1.40403.0
Microsoft.AspNet.Identity.Owin.dll,2.0.0.0,2.2.1.40403.0,2.2.1.40403.0
Microsoft.AspNet.OData.dll,7.0.0.20629,7.0.0.20629,7.0.0.20629
Microsoft.AspNet.SessionState.SessionStateModule.dll,1.1.0.0,1.1.20502.0,1.1.0-20502
Microsoft.AspNet.WebApi.Extensions.Compression.Server.dll,2.0.0.0,2.0.3,2.0.3
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Features.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Azure.Amqp.dll,2.4.0.0,2.2.0.0,2.4.2
Microsoft.Azure.ServiceBus.dll,4.1.2.0,4.100.220.15305,4.1.2+7793c0ed902c9e57b3e78a00af2332d200f11756
Microsoft.Azure.Services.AppAuthentication.dll,1.3.1.0,1.3.1.0,1.3.1
Microsoft.Bcl.AsyncInterfaces.dll,1.0.0.0,4.700.20.21406,3.1.4+c4164928b270ee2369808ab347d33423ef765216
Microsoft.Configuration.ConfigurationBuilders.Base.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Configuration.ConfigurationBuilders.Environment.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Extensions.Caching.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Caching.Memory.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Binder.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.CommandLine.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.FileExtensions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Ini.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Json.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Xml.dll,2.2.0.0,2.2.0.18315,2.2.0-rtm-181110-01+pb-20181110-02
Microsoft.Extensions.DependencyInjection.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
