sep=,
Filename,Version,FileVersion,InfoVersion
Google.Protobuf.dll,3.6.1.0,3.6.1.0,3.6.1
Microsoft.AI.Agent.Intercept.dll,2.4.0.0,2.4.0.105563,2.4.0.105563
Microsoft.AI.DependencyCollector.dll,2.5.1.0,2.5.1.195,2.5.1.195
Microsoft.ApplicationInsights.dll,2.5.1.0,2.5.1.172,2.5.1.172
Microsoft.AspNetCore.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Hosting.Server.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.AspNetCore.Http.Features.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Azure.Amqp.dll,2.4.0.0,2.2.0.0,2.4.2
Microsoft.Azure.ServiceBus.dll,4.1.2.0,4.100.220.15305,4.1.2+7793c0ed902c9e57b3e78a00af2332d200f11756
Microsoft.Azure.Services.AppAuthentication.dll,1.3.1.0,1.3.1.0,1.3.1
Microsoft.Bcl.AsyncInterfaces.dll,1.0.0.0,4.700.20.21406,3.1.4+c4164928b270ee2369808ab347d33423ef765216
Microsoft.Configuration.ConfigurationBuilders.Base.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Configuration.ConfigurationBuilders.Environment.dll,1.0.0.0,1.0.30709.0,1.0.2-30709
Microsoft.Extensions.Configuration.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Binder.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.CommandLine.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.EnvironmentVariables.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.FileExtensions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Ini.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Json.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Configuration.Xml.dll,2.2.0.0,2.2.0.18315,2.2.0-rtm-181110-01+pb-20181110-02
Microsoft.Extensions.DependencyInjection.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.DependencyInjection.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.DependencyModel.dll,3.1.5.0,3.100.520.27005,3.1.5+65cd7897774a464b5991c1962f7a0d476bb63101
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.FileProviders.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.FileProviders.Physical.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.FileSystemGlobbing.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Hosting.Abstractions.dll,2.1.1.0,2.1.1.18157,2.1.1-rtm-30846
Microsoft.Extensions.Logging.Abstractions.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Logging.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Options.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.Extensions.Primitives.dll,3.1.14.0,3.100.1421.16509,3.1.14+1c79cde92ca66a991b25a5ed9cbd570e289df47e
Microsoft.IdentityModel.Clients.ActiveDirectory.dll,4.5.0.0,4.5.0.0,4.5.0
Microsoft.IdentityModel.JsonWebTokens.dll,5.4.0.0,5.4.0.60123,5.4.0.60123010533.1300b19eae77801a05906bc061fe52e158b513e8
Microsoft.IdentityModel.Logging.dll,5.4.0.0,5.4.0.60123,5.4.0.60123010533.1300b19eae77801a05906bc061fe52e158b513e8
Microsoft.IdentityModel.Tokens.dll,5.4.0.0,5.4.0.60123,5.4.0.60123010533.1300b19eae77801a05906bc061fe52e158b513e8
Microsoft.Owin.dll,4.1.1.0,4.1.90908.136,4.1.1
Microsoft.Owin.Host.HttpListener.dll,2.0.2.0,2.0.21107.459,2.0.2
Microsoft.Owin.Hosting.dll,2.0.2.0,2.0.21107.459,2.0.2
